"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","id","bioid","name","gender","type","party"
"clyburn","188019606","Clyburn","James E. Clyburn","Rep. Clyburn is the Assistant Democratic Leader, the number three Democrat in the House of Representatives. He represents South Carolina's 6th District.",26900,1181,1062,"Tue Sep 07 18:50:22 +0000 2010","Washington, DC","00208","C000537","James E. Clyburn","M","Congress","Democrat"
"cnn","759251","CNN","CNN","It’s our job to #GoThere and tell the most difficult stories. Come with us!",17459282,62335,1099,"Fri Feb 09 00:35:02 +0000 2007","",NA,NA,NA,NA,"Media Outlets",NA
"conawaytx11","295685416","ConawayTX11","Mike Conaway","I am proud to serve the 11th Congressional District of Texas! I can be reached via website below or phone: 202-225-3605.",4907,619,1423,"Mon May 09 13:56:50 +0000 2011","","01805","C001062","K. Michael Conaway","M","Congress","Republican"
"congbillposey","25086658","congbillposey","Bill Posey","Congressman from Florida's 8th district, representing the Space and Treasure Coasts",9346,1141,939,"Wed Mar 18 15:05:42 +0000 2009","Rockledge, FL","01915","P000599","Bill Posey","M","Congress","Republican"
"congculberson","24183358","CongCulberson","John Culberson","Proud father, happy husband, Jeffersonian Republican. TX Congressman: Let Texans Run Texas.",6762,1253,559,"Fri Mar 13 14:54:29 +0000 2009","Houston, TX","01670","C001048","John Abney Culberson","M","Congress","Republican"
"conghuelskamp","233761277","CongHuelskamp","Cong. Tim Huelskamp","Conservative representing Kansas First District in the U.S. House of Reps. http://t.co/QVnLuBoD",11965,5303,2394,"Tue Jan 04 01:43:06 +0000 2011","Washington, D.C. ","02020","H001057","Tim Huelskamp","M","Congress","Republican"
"congmikesimpson","76132891","CongMikeSimpson","Cong. Mike Simpson","U.S. Congressman from Idaho's 2nd Congressional District",3685,357,67,"Mon Sep 21 20:26:26 +0000 2009","Washington, D.C. ","01590","S001148","Michael K. Simpson","M","Congress","Republican"
"congpalazzo","299883942","CongPalazzo","Cong. Steven Palazzo","I proudly represent the Fourth Congressional District of Mississippi. For more information on my work in Congress please visit http://t.co/Ue63OYLp.",6539,1385,1625,"Mon May 16 20:52:25 +0000 2011","Mississippi ","02035","P000601","Steven M. Palazzo","M","Congress","Republican"
"congressmandan","242761889","CongressmanDan","Dr. Dan Benishek","I'm a doctor, not a career politician.  I'm working to ensure the citizens of Northern Michigan have their voices heard in Congress.",9098,517,7545,"Tue Jan 25 14:54:16 +0000 2011","Iron River, MI","02027","B001271","Dan Benishek","M","Congress","Republican"
"congressmangt","18967498","CongressmanGT","Glenn 'GT' Thompson","I have the distinct honor and privilege to represent and serve the citizens of Pennsylvania's 5th Congressional District. #PA05",10305,4110,2770,"Wed Jan 14 04:54:58 +0000 2009","Howard, Pennsylvania ","01952","T000467","Glenn Thompson","M","Congress","Republican"
"congressmanhice","2975091705","CongressmanHice","Congressman Hice","Congressman Hice is honored to serve Georgia's 10th Congressional District.",794,109,274,"Mon Jan 12 18:48:35 +0000 2015","Monroe, GA; Wash., D.C.","02237","H001071","Jody B. Hice","M","Congress","Republican"
"congressmanruiz","1089859058","CongressmanRuiz","Raul Ruiz ","Emergency room doctor and public servant. Proudly serving California's 36th Congressional District.",2773,202,1,"Mon Jan 14 18:58:43 +0000 2013","","02109","R000599","Raul Ruiz","M","Congress","Democrat"
"cynthialummis","22831059","CynthiaLummis","Rep. Cynthia Lummis","Proud to represent the people of Wyoming in the U.S. House of Representatives.",11230,1340,6264,"Wed Mar 04 20:44:59 +0000 2009","Wyoming and Washington D.C.","01960","L000571","Cynthia M. Lummis","F","Congress","Republican"
"dailykos","20818801","dailykos","Daily Kos","News. Community. Action.",183957,41075,56,"Fri Feb 13 23:51:25 +0000 2009","",NA,NA,NA,NA,"Media Outlets",NA
"darrellissa","22509548","DarrellIssa","Darrell Issa","I work for CA-49 and I Chair the Subcommittee on Courts, Intellectual Property, and the Internet.  I greatly enjoy an #OPEN, accessible, & uncensored internet.",191895,19476,35595,"Mon Mar 02 17:39:00 +0000 2009","Vista, CA & Washington, DC","01640","I000056","Darrell E. Issa","M","Congress","Republican"
"daveloebsack","510516465","daveloebsack","Dave Loebsack","Fighting for the hardworking people of Iowa",2939,463,547,"Thu Mar 01 16:52:06 +0000 2012","Iowa's 2nd District","01846","L000565","David Loebsack","M","Congress","Democrat"
"davereichert","16102244","davereichert","Dave Reichert","Representative of the Eighth Congressional District in Washington State",9905,1902,3028,"Tue Sep 02 20:12:26 +0000 2008","Auburn, Washington","01810","R000578","David G. Reichert","M","Congress","Republican"
"desjarlaistn04","235312723","DesJarlaisTN04","Scott DesJarlais","Republican Congressman for Tennessee's 4th Congressional District.",7348,2493,1113,"Fri Jan 07 21:47:44 +0000 2011","","02062","D000616","Scott DesJarlais","M","Congress","Republican"
"dorismatsui","38254095","DorisMatsui","Rep. Doris Matsui","Doris represents California's 6th Congressional District - including the capital city of Sacramento. She is a Member of the Energy and Commerce Committee.",10400,1393,6382,"Wed May 06 19:20:50 +0000 2009","Sacramento, CA","01814","M001163","Doris O. Matsui","F","Congress","Democrat"
"drphilroe","52503751","DrPhilRoe","Dr. Phil Roe","Official Account of Rep. Phil Roe, MD (R-TN). Chair of @EdWorkforce's HELP Subcommittee, member of @HouseVetAffairs & co-chair of @gopdoccaucus.",9007,1687,254,"Tue Jun 30 20:07:34 +0000 2009","East Tennessee","01954","R000582","David P. Roe","M","Congress","Republican"
"drudge_report","14669951","DRUDGE_REPORT","DRUDGE REPORT","The DRUDGE REPORT is a U.S. based news aggregation website run by Matt Drudge(@DRUDGE).",780338,143733,2,"Tue May 06 05:34:47 +0000 2008","US",NA,NA,NA,NA,"Media Outlets",NA
"econus","32353291","EconUS","The Economist","Official posts from The Economist's US correspondents",60804,10225,566,"Fri Apr 17 09:18:23 +0000 2009","Washington",NA,NA,NA,NA,"Media Outlets",NA
"edshow","75052666","edshow","Ed Schultz","Ask #edshow a question and watch for Ed's answer M-F at 5pET on @MSNBC. Like Ed on Facebook (http://t.co/zTDHQavWVr), set your DVR and let's get to work!",219975,25122,1019,"Thu Sep 17 16:33:54 +0000 2009","Weeknights 5pET/4pCT",NA,NA,NA,NA,"Media Outlets",NA
"eleanornorton","23600262","EleanorNorton","Eleanor H. Norton","Member of the U.S. Congress",15275,1821,417,"Tue Mar 10 14:47:46 +0000 2009","Washington, DC","00868","N000147","Eleanor Holmes Norton","F","Congress","Democrat"
"farenthold","17896154","farenthold","Blake Farenthold","Proudly serving Texas' 27th Congressional District. @GOPoversight @HouseJudiciary @Transport",7481,3997,949,"Fri Dec 05 12:32:52 +0000 2008","Corpus Christi, TX","02067","F000460","Blake Farenthold","M","Congress","Republican"
"foxnews","1367531","FoxNews","Fox News","America’s Strongest Primetime Lineup Anywhere! Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos.",5235703,201296,385,"Sat Mar 17 19:01:26 +0000 2007","U.S.A.",NA,NA,NA,NA,"Media Outlets",NA
"frankpallone","31801993","FrankPallone","Rep. Frank Pallone","The official Twitter account of Congressman Frank Pallone, Jr. (D), of New Jersey's 6th district, Ranking Member of @EnergyCommerce Committee.",14366,6075,939,"Thu Apr 16 13:51:56 +0000 2009","#NJ","00887","P000034","Frank Pallone Jr.","M","Congress","Democrat"
"gerryconnolly","78445977","GerryConnolly","Gerry Connolly","Proudly representing Virginia's 11th District",8007,3436,206,"Tue Sep 29 23:17:33 +0000 2009","Virginia's 11th District","01959","C001078","Gerald E. Connolly","M","Congress","Democrat"
"gkbutterfield","432676344","GKButterfield","G. K. Butterfield","The Official Twitter Page of U.S. Congressman G. K. Butterfield, 1st District of North Carolina",5292,1151,353,"Fri Dec 09 17:17:22 +0000 2011","","01761","B001251","G. K. Butterfield","M","Congress","Democrat"
"glennbeck","17454769","glennbeck","Glenn Beck","'find joy. speak truth.' | Tweets by @glennbeck and staffers @wilsongarrett & @sarafeed | http://t.co/ec9stEUb7J",962755,7813,81,"Tue Nov 18 00:43:47 +0000 2008","Dallas, TX. Rockies, NYC.",NA,NA,NA,NA,"Media Outlets",NA
"gopleader","19739126","GOPLeader","Kevin McCarthy","I serve as Majority Leader and Representative of California's 23rd district in the U.S. House of Representatives. Follow me on Facebook: https://t.co/y9pvnqlAnR",58974,5984,1308,"Thu Jan 29 22:28:48 +0000 2009","California","01833","M001165","Kevin McCarthy","M","Congress","Republican"
"govchristie","90484508","GovChristie","Governor Christie","Official Twitter Account of the 55th Governor of New Jersey. Husband and proud father of four.",529009,7490,602,"Mon Nov 16 21:08:09 +0000 2009","Trenton, NJ",NA,NA,NA,NA,"Primary Candidate","Republican"
"governoromalley","15824288","GovernorOMalley","Martin O'Malley","Former Governor of Maryland and Mayor of Baltimore. Running for President to rebuild the American Dream.",73687,10253,1927,"Tue Aug 12 16:19:25 +0000 2008","Baltimore, MD",NA,NA,NA,NA,"Primary Candidate","Democrat"
"governorpataki","2865560724","GovernorPataki","George E. Pataki","Candidate for President, 3-Term Governor of NY, Husband, Father, Proud Military Dad. Conservative w/a passion for people and getting this nation back on track.",41151,896,334,"Sun Oct 19 18:48:22 +0000 2014","Peekskill, New York",NA,NA,NA,NA,"Primary Candidate","Republican"
"governorperry","18906561","GovernorPerry","Rick Perry","Personal Twitter feed of Texas' 47th Governor",289450,2774,29439,"Mon Jan 12 16:59:54 +0000 2009","Texas",NA,NA,NA,NA,"Primary Candidate","Republican"
"govmikehuckabee","15416505","GovMikeHuckabee","Gov. Mike Huckabee","Former AR Gov, Bass Guitarist, Radio Commentator",368028,4642,492,"Sun Jul 13 17:09:21 +0000 2008","Little Rock, Arkansas",NA,NA,NA,NA,"Primary Candidate","Republican"
"gracenapolitano","161411080","gracenapolitano","Rep.Grace Napolitano","Congresswoman from California's 32nd Congressional District in the US House of Representatives",7958,961,250,"Wed Jun 30 19:48:06 +0000 2010","El Monte, CA","01602","N000179","Grace F. Napolitano","F","Congress","Democrat"
"grahamblog","14845376","GrahamBlog","Lindsey Graham","Twitter feed for U.S. Senator Lindsey Graham of South Carolina.",72621,3899,2167,"Tue May 20 13:57:21 +0000 2008","Washington, DC","00452","G000359","Lindsey Graham","M","Primary Candidate","Republican"
"greggharper","23712174","GreggHarper","Gregg Harper","Devoted husband. Loving father. Principled conservative.",11633,2435,413,"Wed Mar 11 03:02:52 +0000 2009","Pearl, Mississippi","01933","H001045","Gregg Harper","M","Congress","Republican"
"gregorymeeks","22812754","GregoryMeeks"," Gregory Meeks","Proudly serving the 5th Congressional District of New York.",10430,1664,540,"Wed Mar 04 18:36:27 +0000 2009","Queens, New York","01506","M001137","Gregory W. Meeks","M","Congress","Democrat"
"guardianus","16042794","GuardianUS","Guardian US","Featuring the @Guardian's US coverage, conversations and reporters. Feed managed by our Audience team. Questions? Find us here: http://t.co/2TdtiTLI4R",140946,101107,663,"Fri Aug 29 14:52:08 +0000 2008","New York",NA,NA,NA,NA,"Media Outlets",NA
"herrerabeutler","242926427","HerreraBeutler","JaimeHerreraBeutler","I'm proud to have grown up in SW WA, and honored to represent this wonderful region in the US Congress. Want regular email updates? http://t.co/sZutp93Fhg",6655,275,1105,"Tue Jan 25 22:36:44 +0000 2011","","02071","H001056","Jaime Herrera Beutler","F","Congress","Republican"
"hillaryclinton","1339835893","HillaryClinton","Hillary Clinton","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed –H",3612817,575,17,"Tue Apr 09 18:04:35 +0000 2013","New York",NA,NA,NA,NA,"Primary Candidate","Democrat"
"huffpostpol","15458694","HuffPostPol","HuffPost Politics","The latest political news from The Huffington Post's politics team.",483221,232860,9080,"Wed Jul 16 19:45:46 +0000 2008","Washington, D.C.",NA,NA,NA,NA,"Media Outlets",NA
"hurdonthehill","2963445730","HurdOnTheHill","Rep. Will Hurd","San Antonio native, @TAMU grad, former undercover CIA officer, cybersecurity expert, Chair of IT Subcommittee on @GOPOversight, also on @HouseHomeland",2016,562,325,"Tue Jan 06 04:27:18 +0000 2015","#TX23","02269","H001073","Will Hurd","M","Congress","Republican"
"inhofepress","20546536","InhofePress","Inhofe Press Office","Press Office of U.S. Senator Jim Inhofe (R-Okla.)",11136,5468,1372,"Tue Feb 10 21:12:51 +0000 2009","Washington, D.C.","00583","I000024","James M. Inhofe","M","Congress","Republican"
"jacksonleetx18","80612021","JacksonLeeTX18","Sheila Jackson Lee","Official Twitter account for Congresswoman Sheila Jackson Lee, Representing Texas' 18th Congressional District in the U.S. House of Representatives",15380,2574,1285,"Wed Oct 07 16:13:13 +0000 2009","Houston, TX","00588","J000032","Sheila Jackson Lee","F","Congress","Democrat"
"jahimes","31611298","jahimes","Jim Himes","Congressman proudly representing Connecticut's 4th",17026,5654,560,"Thu Apr 16 02:38:33 +0000 2009","CT and DC","01913","H001047","James A. Himes","M","Congress","Democrat"
"janschakowsky","24195214","janschakowsky","Jan Schakowsky","Official Twitter account for Rep. Jan Schakowsky, Illinois 9th Congressional District",16260,3073,979,"Fri Mar 13 16:03:17 +0000 2009","Washington, DC","01588","S001145","Janice D. Schakowsky","F","Congress","Democrat"
"jaredpolis","15361570","jaredpolis","Jared Polis","father, entrepreneur,education reform, baseball, tech, politics, gaymer; also follow my Congressional twitter @RepJaredPolis & campaign @Polis4Congress",32535,3855,3221,"Wed Jul 09 03:04:04 +0000 2008","Boulder, CO","01910","P000598","Jared Polis","M","Congress","Democrat"
"jasoninthehouse","17800215","jasoninthehouse","Jason Chaffetz","United States Congressman (UT-3). Chairman, Oversight & Government Reform. Tweets come from me, not my staff.",89043,5722,19445,"Tue Dec 02 04:59:53 +0000 2008","Utah/Washington D.C.","01956","C001076","Jason Chaffetz","M","Congress","Republican"
"jebbush","113047940","JebBush","Jeb Bush","43rd Governor of the State of Florida",192049,1376,145,"Wed Feb 10 14:45:07 +0000 2010","Coral Gables, FL",NA,NA,NA,NA,"Primary Candidate","Republican"
"jeffflake","16056306","JeffFlake","Jeff Flake","Senator from Arizona",26225,1253,208,"Sat Aug 30 17:00:58 +0000 2008","Mesa, AZ","01633","F000444","Jeff Flake","M","Congress","Republican"
