"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","bioid","id","name","gender","type","party","facebook","youtube","chamber"
"repamata","3026622545","RepAmata","Rep. Aumua Amata🇦🇸","Congresswoman proudly representing American Samoa. Serving on the @NatResources, @HouseVetAffairs, and @HouseSmallBiz",2627,346,182,"Mon Feb 09 16:00:36 +0000 2015","Washington, D.C.","R000600","02222","Aumua Amata Coleman Radewagen","F","Congress","Republican","aumuaamata",NA,"rep"
"repandrecarson","199325935","RepAndreCarson","André Carson","The official Twitter account for Congressman André Carson of Indiana's 7th District. #Indianapolis #Indy",34050,3507,997,"Wed Oct 06 15:47:50 +0000 2010","Indianapolis","C001072","01889","André Carson","M","Congress","Democrat","CongressmanAndreCarson","repandrecarson","rep"
"repandybarr","1089334250","RepAndyBarr","Rep. Andy Barr","Honored to represent Kentucky's Sixth Congressional District.  Fighting to get Kentuckians back to work and restore fiscal responsibility to Washington",17453,3124,1194,"Mon Jan 14 15:29:49 +0000 2013","Lexington, KY","B001282","02131","Andy Barr","M","Congress","Republican","RepAndyBarr","RepAndyBarr","rep"
"repandybiggsaz","816652616625168388","RepAndyBiggsAZ","Rep Andy Biggs","Representing the 5th Congressional District of Arizona.",11526,3297,1209,"Wed Jan 04 14:28:51 +0000 2017","Arizona, USA","B001302",NA,"Andy Biggs","M","Congress","Republican","RepAndyBiggs",NA,"rep"
"repandyharrismd","960962340","RepAndyHarrisMD","Rep. Andy Harris, MD","Proud to represent MD-01; Anesthesiologist; Dad to Joe, Becky, Irene, Jessica, & Danny; Grandpa to Charles, Abigail, Arthur, Andrew, Camilla, James, & Sylvia.",13477,2955,607,"Tue Nov 20 18:31:27 +0000 2012","Maryland's First District","H001052","02026","Andy Harris","M","Congress","Republican","AndyHarrisMD","RepAndyHarris","rep"
"repannaeshoo","249348006","RepAnnaEshoo","Rep. Anna G. Eshoo","Representing California's 18th Congressional District--the heart of Silicon Valley.",36055,2179,895,"Tue Feb 08 21:36:03 +0000 2011","Palo Alto, CA","E000215","00355","Anna G. Eshoo","F","Congress","Democrat","RepAnnaEshoo","RepAnnaEshoo","rep"
"repanniekuster","1058717720","RepAnnieKuster","Ann McLane Kuster","Honored to serve the people of New Hampshire’s Second District in Congress.",18466,3731,2418,"Thu Jan 03 20:29:22 +0000 2013","NH's 2nd District","K000382","02145","Ann M. Kuster","F","Congress","Democrat","CongresswomanAnnieKuster","RepKuster","rep"
"repannwagner","1051446626","RepAnnWagner","Ann Wagner","Official Twitter account for Congresswoman Ann Wagner-- proudly Representing the 2nd Congressional District of Missouri https://t.co/6TKCrqRcSw",18711,3170,2751,"Tue Jan 01 00:01:45 +0000 2013","Ballwin, MO","W000812","02137","Ann Wagner","F","Congress","Republican","RepAnnWagner",NA,"rep"
"repanthonybrown","823552974253342721","RepAnthonyBrown","Anthony G. Brown","Congressman proudly representing Maryland's Fourth District. Member of @HASCDemocrats & @NRDems. Father, husband & retired @USArmyReserve Colonel",9895,1723,840,"Mon Jan 23 15:28:24 +0000 2017","Washington, DC","B001304",NA,"Anthony G. Brown","M","Congress","Democrat","RepAnthonyBrown","RepAnthonyBrown","rep"
"reparrington","816284664658874368","RepArrington","Rep. Arrington","Proudly representing the good people of West Texas in Congress.",5054,1091,1215,"Tue Jan 03 14:06:44 +0000 2017","West Texas","A000375",NA,"Jodey C. Arrington","M","Congress","Republican","JodeyArrington",NA,"rep"
"repbarbaralee","248735463","RepBarbaraLee","Rep. Barbara Lee","Progressive Democrat representing the #EastBay. Promoting justice for all, peace, & human rights. @ProChoiceCaucus Co-Chair. Proud member of the #resistance.",187387,7993,16311,"Mon Feb 07 16:28:28 +0000 2011","Washington, DC and Oakland, CA","L000551","01501","Barbara Lee","F","Congress","Democrat","RepBarbaraLee","RepLee","rep"
"repbarragan","816833925456789505","RepBarragan","Nanette D. Barragán","Official account. Honored to represent California's 44th Congressional District. #CA44 Member of the @HispanicCaucus @USProgressives @Dodgers fan.",8171,2402,610,"Thu Jan 05 02:29:18 +0000 2017","San Pedro, CA","B001300",NA,"Nanette Diaz Barragán","F","Congress","Democrat","CongresswomanBarragan",NA,"rep"
"repbeatty","1531521632","RepBeatty","Joyce Beatty","Official Twitter account for Congresswoman Beatty, representing Ohio's Third Congressional District in the U.S. House of Representatives.",29654,6713,2545,"Wed Jun 19 17:47:09 +0000 2013","Ohio's Third District","B001281","02153","Joyce Beatty","F","Congress","Democrat","RepJoyceBeatty",NA,"rep"
"repbenraylujan","19318314","repbenraylujan","Ben Ray Lujan","Proudly Representing New Mexico’s 3rd Congressional District. @EnergyCommerce Committee, and Member of @HispanicCaucus. Follows, replies & RTs ≠ endorsement.",17240,1843,731,"Thu Jan 22 01:00:32 +0000 2009","","L000570","01939","Ben Ray Luján","M","Congress","Democrat","RepBenRayLujan","Repbenraylujan","rep"
"repbera","950783972","RepBera","Ami Bera, M.D.","Proudly representing Sacramento County, California in the U.S. House of Representatives",28526,3190,190,"Fri Nov 16 01:39:54 +0000 2012","Elk Grove, California","B001287","02102","Ami Bera","M","Congress","Democrat","RepAmiBera","repamibera","rep"
"repbetoorourke","1134292500","RepBetoORourke","Rep. Beto O'Rourke","US Congress - El Paso",120846,4103,284,"Wed Jan 30 14:52:51 +0000 2013","El Paso, TX","O000170","02162","Beto O’Rourke","M","Congress","Democrat","betoorourketx16","betoorourketx16","rep"
"repbillflores","237312687","RepBillFlores","Rep. Bill Flores","I am working hard for Texas families in District 17 to rebuild our national security, improve economic opportunity, and protect our Constitutional liberties.",18007,8218,3369,"Wed Jan 12 15:20:23 +0000 2011","17th District of Texas","F000461","02065","Bill Flores","M","Congress","Republican","RepBillFlores","RepBillFlores","rep"
"repbillfoster","1080509366","RepBillFoster","Bill Foster","Congressman Bill Foster is a scientist and businessman representing the 11th Congressional District of Illinois",45124,2758,1972,"Fri Jan 11 18:17:11 +0000 2013","Naperville, IL ","F000454","01888","Bill Foster","M","Congress","Democrat","CongressmanBillFoster","RepBillFoster","rep"
"repbilljohnson","211530910","RepBillJohnson","Bill Johnson","Proudly representing #Ohio's 6th Congressional District. Energy Enthusiast. Veteran. Husband. Father. Grandfather.",32054,5311,833,"Wed Nov 03 14:33:04 +0000 2010","Eastern/Southeastern Ohio","J000292","02046","Bill Johnson","M","Congress","Republican","RepBillJohnson","RepBillJohnson","rep"
"repbillshuster","22527499","RepBillShuster","Bill Shuster","Proudly representing the people of PA's 9th district. Member of Congress, Chairman of @transport, and member of @hascrepublicans.",20508,3364,1093,"Mon Mar 02 20:04:02 +0000 2009","Hollidaysburg, PA","S001154","01681","Bill Shuster","M","Congress","Republican","Rep.Shuster","repshuster","rep"
"repblaine","1849261916","RepBlaine","Blaine Luetkemeyer","Proudly serving Missouri's 3rd Congressional District. House @FinancialCmte and @HouseSmallBiz Commitee member.",10837,1773,263,"Mon Sep 09 19:53:08 +0000 2013","Missouri's 3rd District","L000569","01931","Blaine Luetkemeyer","M","Congress","Republican","BlaineLuetkemeyer","BLuetkemeyer","rep"
"repbobbyrush","305216911","RepBobbyRush","Bobby L. Rush","Official Twitter account of Congressman Bobby L. Rush, proudly representing the 1st Congressional District of Illinois.",14736,1842,691,"Wed May 25 20:59:25 +0000 2011","Chicago, IL","R000515","01003","Bobby L. Rush","M","Congress","Democrat","congressmanbobbyrush","CongressmanRush","rep"
"repbobgibbs","234822928","RepBobGibbs","Rep. Bob Gibbs","R-OH https://t.co/2BckMkGpZV",33057,3018,2864,"Thu Jan 06 17:17:21 +0000 2011","US Congress","G000563","02049","Bob Gibbs","M","Congress","Republican","RepBobGibbs","RepBobGibbs","rep"
"repbonamici","558769636","RepBonamici","Suzanne Bonamici","Representing Oregon's 1st District. Working to strengthen #PublicEducation, support #WorkingFamilies, & #DefendScience. Proud mom of two grown kids.",24101,3056,1214,"Fri Apr 20 16:30:32 +0000 2012","","B001278","02092","Suzanne Bonamici","F","Congress","Democrat","congresswomanbonamici","RepSuzanneBonamici","rep"
"repbonnie","2968451607","RepBonnie","Rep. Bonnie Watson Coleman","Proudly serving the people of New Jersey’s 12th Congressional District. Proud #BlackWoman. Progressive Dem. Member of the #Resistance. Co-Chair of @CBWGCaucus.",21971,4682,716,"Thu Jan 08 20:18:16 +0000 2015","New Jersey, USA","W000822","02259","Bonnie Watson Coleman","F","Congress","Democrat","RepBonnie",NA,"rep"
"repbost","2964877294","RepBost","Rep. Mike Bost","Member of Congress proudly representing IL-12. Serving on @transport, @HouseAgNews, and @HouseVetAffairs Committees. Find me on FB at https://t.co/cjWY9Itiyr",8154,1409,1726,"Tue Jan 06 19:55:08 +0000 2015","IL-12 Congressional District","B001295","02243","Mike Bost","M","Congress","Republican","RepBost",NA,"rep"
"repbradwenstrup","518644221","RepBradWenstrup","Brad Wenstrup","US Representative for the people of Ohio's 2nd District, Physician, Army Reservist, Dad, Lifelong Ohioan",19158,4801,991,"Thu Mar 08 16:25:14 +0000 2012","","W000815","02152","Brad R. Wenstrup","M","Congress","Republican","RepBradWenstrup","repbradwenstrup","rep"
"repbrady","148453195","RepBrady","Bob Brady","Proudly representing Pennsylvania's 1st District in House of Representatives. Born & Raised in Philadelphia. Fighting for Equality and Democracy.",12747,742,720,"Wed May 26 18:53:52 +0000 2010","Philly - Delco - DC","B001227","01469","Robert A. Brady","M","Congress","Democrat","RepRobertBrady","BradyPA01","rep"
"repbrianbabin","2929491549","RepBrianBabin","Brian Babin","Honored to serve citizens of #TX36 in U.S. Congress. Chairman of @HouseScience Space Subcommittee and Member of House @Transport Committee.",10595,2462,648,"Thu Dec 18 13:28:53 +0000 2014","","B001291","02270","Brian Babin","M","Congress","Republican","RepBrianBabin",NA,"rep"
"repbrianfitz","816303263586914304","RepBrianFitz","Brian Fitzpatrick","An independent voice for the people of #PA08. Former FBI Special Agent & Federal Prosecutor. EMT, CPA & Philly sports fan. #GoBirds",6662,777,153,"Tue Jan 03 15:20:39 +0000 2017","Levittown, PA","F000466",NA,"Brian K. Fitzpatrick","M","Congress","Republican","repbrianfitzpatrick",NA,"rep"
"repbrianhiggins","33576489","RepBrianHiggins","Brian Higgins","Official account for the Office of Congressman Brian Higgins (NY-26) representing portions of Erie and Niagara counties. http://t.co/Cpl0TlH2JW",22599,13296,3498,"Mon Apr 20 16:47:06 +0000 2009","WNY and Washington, DC","H001038","01794","Brian Higgins","M","Congress","Democrat","RepBrianHiggins","CongressmanHiggins","rep"
"repbrianmast","814103950404239360","RepBrianMast","Rep. Brian Mast","Proud husband, father of 3 & Army veteran.  Humbly serving the 18th Congressional District of Florida. Please contact me if you need assistance.",10054,1096,468,"Wed Dec 28 13:41:21 +0000 2016","","M001199",NA,"Brian J. Mast","M","Congress","Republican","repbrianmast","repbrianmast","rep"
"repbuddycarter","2973870195","RepBuddyCarter","Buddy Carter","Proudly serving Georgia's 1st Congressional District",12394,1538,279,"Mon Jan 12 00:33:43 +0000 2015","","C001103","02236","Earl L. ""Buddy"" Carter","M","Congress","Republican","congressmanbuddycarter",NA,"rep"
"repbyrne","2253968388","RepByrne","Rep. Bradley Byrne","I am proud to represent Alabama's First Congressional District in the U.S. House of Representatives.",18288,12747,3836,"Thu Dec 19 19:42:18 +0000 2013","Southwest Alabama","B001289","02197","Bradley Byrne","M","Congress","Republican","RepByrne",NA,"rep"
"repcarbajal","816157667882373120","RepCarbajal","Rep. Salud Carbajal","Father, husband, & veteran proudly representing California’s 24th District. Working to protect the environment, improve our economy, and support our veterans.",6624,1102,605,"Tue Jan 03 05:42:06 +0000 2017","","C001112",NA,"Salud O. Carbajal","M","Congress","Democrat","repsaludcarbajal","repcarbajal","rep"
"repcardenas","1222257180","RepCardenas","Rep. Tony Cárdenas","Proud to represent California's 29th District - the San Fernando Valley - in U.S. Congress. Member of @HouseCommerce; Democratic Assistant Whip.",18096,7074,1414,"Tue Feb 26 16:12:35 +0000 2013","San Fernando Valley, CA","C001097","02107","Tony Cárdenas","M","Congress","Democrat","repcardenas","repcardenas","rep"
"repcartwright","776664410","RepCartwright","Matt Cartwright","Proudly representing Pennsylvania's 17th Congressional District.",10000,1961,1915,"Thu Aug 23 20:05:56 +0000 2012","Moosic, PA","C001090","02159","Matt Cartwright","M","Congress","Democrat","CongressmanMattCartwright",NA,"rep"
"repcharliecrist","816030424778543104","RepCharlieCrist","Rep. Charlie Crist","Representing Florida's 13th Congressional District in the U.S. House of Representatives.",7949,1673,264,"Mon Jan 02 21:16:29 +0000 2017","St Petersburg, FL","C001111",NA,"Charlie Crist","M","Congress","Democrat","RepCharlieCrist",NA,"rep"
"repcheri","1092979962","RepCheri","Rep. Cheri Bustos","Serving Illinois' 17th District. Wife & mother of 3 sons. Athlete. Former reporter. Fighting for #ABetterDeal. Co-Chair of DPCC. Facebook & Snapchat: RepCheri.",28736,3517,4189,"Tue Jan 15 19:15:03 +0000 2013","Illinois & Washington, D.C.","B001286","02127","Cheri Bustos","F","Congress","Democrat","RepCheri","RepCheri","rep"
"repchriscollins","1058256326","RepChrisCollins","Rep. Chris Collins","Proud to represent New York’s 27th Congressional District. Focused on less spending in Washington and more jobs in America. Member of @HouseCommerce",18929,3700,674,"Thu Jan 03 16:55:01 +0000 2013","","C001092","02151","Chris Collins","M","Congress","Republican","RepChrisCollins","RepChrisCollins","rep"
"repchrissmith","1289319271","RepChrisSmith","Rep. Chris Smith","Proud to represent the 4th Congressional District of New Jersey.

Social media policy: https://t.co/vKjnDqaOS5",21091,1062,228,"Fri Mar 22 18:03:53 +0000 2013","","S000522","01071","Christopher H. Smith","M","Congress","Republican","RepChrisSmith","USRepChrisSmith","rep"
"repchrisstewart","1072008757","RepChrisStewart","Rep. Chris Stewart","Utah's 2nd District Congressman. Former Air Force B-1 pilot, author, House Intelligence & Appropriations Committees. Visit http://t.co/GUW6weAva6",18149,2900,357,"Tue Jan 08 21:08:19 +0000 2013","Utah and DC","S001192","02168","Chris Stewart","M","Congress","Republican","RepChrisStewart","repchrisstewart","rep"
"repchuck","235190657","RepChuck","Chuck Fleischmann","My official House office Twitter account. I work for the people of TN-03.",13543,1958,639,"Fri Jan 07 15:46:29 +0000 2011","Washington, D.C./TN-03","F000459","02061","Charles J. ""Chuck"" Fleischmann","M","Congress","Republican","repchuck","repchuck","rep"
"repcicilline","462143773","RepCicilline","Cicilline Press Office","Tweets from the press office of Congressman David N. Cicilline (D-RI).",20211,5240,18272,"Thu Jan 12 16:26:40 +0000 2012","Pawtucket/Washington","C001084","02055","David N. Cicilline","M","Congress","Democrat","CongressmanDavidCicilline","RepDavidCicilline","rep"
"repclayhiggins","843636970538618880","RepClayHiggins","Rep. Clay Higgins","Proudly representing #LA03 in the U.S. House of Representatives. Member of @HouseHomeland, @HouseVetAffairs, and @HouseScience.",4663,709,330,"Mon Mar 20 01:35:02 +0000 2017","","H001077",NA,"Clay Higgins","M","Congress","Republican","CongressmanClayHiggins",NA,"rep"
"repcleaver","163570705","repcleaver","Rep. Emanuel Cleaver","This is the official Twitter page of Congressman Emanuel Cleaver, II, representing Missouri's Fifth District.",35313,5553,850,"Tue Jul 06 19:14:47 +0000 2010","","C001061","01790","Emanuel Cleaver","M","Congress","Democrat","emanuelcleaverii","repcleaver","rep"
"repcohen","162069635","RepCohen","Steve Cohen","Member of Congress (D-TN09) | #Memphis | Judiciary&Transportation Committees | Ranking Member on Constitution Subcommittee | Leader in Effort to #ImpeachTrump",46420,7924,1941,"Fri Jul 02 15:10:21 +0000 2010","Memphis, TN and Washington, DC","C001068","01878","Steve Cohen","M","Congress","Democrat","CongressmanSteveCohen","repcohen","rep"
"repcomstock","2933760046","RepComstock","Barbara Comstock","Honored To Represent Virginia’s 10th Congressional District. Attorney • Legislator • Mom",16386,3382,673,"Sat Dec 20 15:03:37 +0000 2014","Virginia's 10th CD","C001105","02273","Barbara Comstock","F","Congress","Republican","RepBarbaraComstock",NA,"rep"
"repcuellar","210926192","RepCuellar","Rep. Henry Cuellar","Serving the 28th District of Texas in U.S. House of Representatives",21289,4898,2078,"Mon Nov 01 20:20:17 +0000 2010","Laredo, Texas / Washington DC","C001063","01807","Henry Cuellar","M","Congress","Democrat","152569121550","henrycuellar","rep"
"repcummings","787373558","RepCummings","Elijah E. Cummings","U.S. Representative from Maryland's 7th District, dedicated to serving and empowering the people I’m sworn to represent. RT's and Follows are not endorsements.",221024,5864,1605,"Tue Aug 28 16:37:01 +0000 2012","Baltimore, MD","C000984","00256","Elijah E. Cummings","M","Congress","Democrat","elijahcummings","ElijahECummings","rep"
"repcurbelo","2853309155","RepCurbelo","Rep. Carlos Curbelo","Representing Florida's 26th Congressional District, Husband, Dad, Catholic, Son of Cuban exiles, GOP, UM gradx2, Belen Jesuit",18162,3510,241,"Fri Oct 31 14:01:43 +0000 2014","","C001107","02235","Carlos Curbelo","M","Congress","Republican","repcurbelo",NA,"rep"
"repdandonovan","3353670647","RepDanDonovan","Dan Donovan","Representing Staten Island and Brooklyn in NY's 11th Congressional District",6496,1893,438,"Wed Jul 01 19:06:08 +0000 2015","Staten Island, NY","D000625","02293","Daniel M. Donovan, Jr.","M","Congress","Republican","RepDanDonovan",NA,"rep"
"repdankildee","1045110018","RepDanKildee","Rep. Dan Kildee","Honored to represent Michigan's Fifth Congressional District. Born & raised in Flint. Vice Ranking Member, @FSCDems. Proud husband, father & grandfather.",32731,5603,6224,"Sat Dec 29 15:05:47 +0000 2012","Michigan","K000380","02134","Daniel T. Kildee","M","Congress","Democrat","RepDanKildee","RepDanKildee","rep"
"repdannydavis","789244177","RepDannyDavis","Rep. Danny K. Davis","US House Representative for Illinois' 7th Congressional District.
Serving on the Committee on Ways and Means.
Following/retweeting does not equal endorsement.",10297,1493,349,"Wed Aug 29 12:31:09 +0000 2012","Chicago, IL","D000096","01477","Danny K. Davis","M","Congress","Democrat","CongressmanDKDavis","dannykdavis07","rep"
"repdarrensoto","818713465653051392","RepDarrenSoto","US Rep. Darren Soto","Proudly representing Central Florida's 9th District: Osceola County and parts of Orange and Polk counties. Official Account",6109,1920,3082,"Tue Jan 10 06:57:55 +0000 2017","Kissimmee, Florida","S001200",NA,"Darren Soto","M","Congress","Democrat","CongressmanDarrenSoto","repdarrensoto","rep"
"repdavebrat","2560169238","RepDaveBrat","Rep. Dave Brat","Proudly serving Virginia's Seventh Congressional District #VA07. I sit on the House Committees on @HouseBudgetGOP, @EdWorkforce, and the @HouseSmallBiz",15809,1669,1049,"Wed Jun 11 00:22:04 +0000 2014","Washington, DC","B001290","02203","Dave Brat","M","Congress","Republican","RepDaveBrat",NA,"rep"
"repdavejoyce","976969338","RepDaveJoyce","Dave Joyce","Father, husband, and former prosecutor proudly representing #OH14",19059,3696,2492,"Wed Nov 28 21:12:14 +0000 2012"," Washington, DC","J000295","02154","David P. Joyce","M","Congress","Republican","RepDaveJoyce","repdavejoyce","rep"
"repdavetrott","2869746172","repdavetrott","Dave Trott","Dad, husband, lifelong resident of Southeast Michigan and Representative for Michigan's 11th District.",13516,561,218,"Sun Nov 09 22:42:17 +0000 2014","","T000475","02250","David A. Trott","M","Congress","Republican","RepDaveTrott",NA,"rep"
"repdavid","229197216","RepDavid","Rep David Schweikert","Avid hiker and coffee enthusiast who is proud to represent Arizona's 6th Congressional District in the U.S. House of Representatives.",23030,3417,1922,"Tue Dec 21 19:48:02 +0000 2010","Arizona","S001183","01994","David Schweikert","M","Congress","Republican","repdavidschweikert","RepDavidSchweikert","rep"
"repdavideprice","155669457","RepDavidEPrice","David E. Price","I am proud to represent NC's 4th Congressional District, which includes Orange and parts of Wake and Durham Counties.",24589,3691,2532,"Mon Jun 14 19:44:06 +0000 2010","","P000523","00930","David E. Price","M","Congress","Democrat","RepDavidEPrice","RepDavidPrice","rep"
"repdavidkustoff","816012124505931780","RepDavidKustoff","Rep. David Kustoff","Official news and updates from Congressman David Kustoff, Proudly serving the 8th District of Tennessee",6064,688,555,"Mon Jan 02 20:03:46 +0000 2017","TN-08/Washington, DC","K000392",NA,"David Kustoff","M","Congress","Republican","RepDavidKustoff",NA,"rep"
"repdavidrouzer","834069080","RepDavidRouzer","David Rouzer","Congressman from North Carolina's 7th Congressional district",6923,707,396,"Wed Sep 19 20:23:15 +0000 2012","","R000603","02256","David Rouzer","M","Congress","Republican","RepRouzer",NA,"rep"
"repdavidscott","168673083","repdavidscott","David Scott","Representing Georgia's 13th Congressional District including Cobb, Douglas, Fayette, Fulton, Clayton, and Henry Counties.",17827,2709,1824,"Tue Jul 20 14:10:32 +0000 2010","Georgia","S001157","01722","David Scott","M","Congress","Democrat","113303673339","RepDavidScott","rep"
"repdavidvaladao","1128514404","RepDavidValadao","Rep. David Valadao","Proudly Representing California's 21st Congressional District.",15931,1019,420,"Mon Jan 28 16:19:14 +0000 2013","Hanford, California","V000129","02105","David G. Valadao","M","Congress","Republican","CongressmanDavidValadao","congressmanvaladao","rep"
"repdavidyoung","314205957","RepDavidYoung","David Young","Official account of U.S. Congressman David Young, proudly representing all the people in Iowa's 3rd Congressional District. #IA03",12514,4576,763,"Thu Jun 09 21:48:45 +0000 2011","Van Meter, Iowa","Y000066","02242","David Young","M","Congress","Republican","RepDavidYoung",NA,"rep"
"repdebdingell","2970279814","RepDebDingell","Rep. Debbie Dingell","Proudly serving the people of Michigan's 12th Congressional District.
http://t.co/e7qwdRk0zg
http://t.co/q9q7Jj0s26",33718,2332,2826,"Fri Jan 09 19:15:50 +0000 2015","Washington, DC","D000624","02251","Debbie Dingell","F","Congress","Democrat","RepDebbieDingell",NA,"rep"
"repdelbene","995193054","RepDelBene","Rep. Suzan DelBene","U.S. Congresswoman representing Washington's 1st Congressional District (#WA01)",23418,4396,1955,"Fri Dec 07 14:40:48 +0000 2012","","D000617","02096","Suzan K. DelBene","F","Congress","Democrat","RepDelBene",NA,"rep"
"repdennisross","33655490","RepDennisRoss","Dennis Ross","Husband, Father, and Conservative Republican Congressman serving Florida's 15th Congressional District. https://t.co/IXwSnVOJw5",19271,12972,1678,"Mon Apr 20 20:43:13 +0000 2009","Central Florida and Tampa Bay","R000593","02003","Dennis A. Ross","M","Congress","Republican","dennis.ross.376","RepDennisRoss","rep"
"repdennyheck","1068499286","RepDennyHeck","Denny Heck","Proudly representing #WA10 in U.S. Congress. Husband, (gran)dad, @GonzagaBulldogs fan & #12thMan.  Serves on House Intel (#FollowtheFacts) & @FSCDems.",21512,3749,3714,"Mon Jan 07 14:55:36 +0000 2013","South Puget Sound, WA","H001064","02170","Denny Heck","M","Congress","Democrat","CongressmanDennyHeck","RepDennyHeck","rep"
"repderekkilmer","1058917562","RepDerekKilmer","Rep. Derek Kilmer","Representing Washington's 6th District in the House of Representatives           FB: https://t.co/byKNKNH1UP",23766,2066,169,"Thu Jan 03 22:15:02 +0000 2013","","K000381","02169","Derek Kilmer","M","Congress","Democrat","derek.kilmer",NA,"rep"
"repdesantis","1058807868","RepDeSantis","Ron DeSantis","The Official Twitter account for Congressman DeSantis. Proudly representing Florida's 6th District. Stay connected through Facebook at http://t.co/WKpKHHXK!",199999,2431,1380,"Thu Jan 03 21:20:17 +0000 2013","","D000621","02116","Ron DeSantis","M","Congress","Republican","RepDeSantis","RepRonDeSantis","rep"
"repdesaulnier","2968007206","RepDeSaulnier","Mark DeSaulnier","Honored to represent California's 11th Congressional District. Member of: @transportdems @edworkforcedems @oversightdems",12930,2488,687,"Thu Jan 08 15:32:13 +0000 2015","Concord, CA","D000623","02227","Mark DeSaulnier","M","Congress","Democrat","RepMarkDeSaulnier",NA,"rep"
"repdevinnunes","344972339","RepDevinNunes","Rep. Devin Nunes","",28369,153,15,"Fri Jul 29 21:40:22 +0000 2011","Washington, DC","N000181","01710","Devin Nunes","M","Congress","Republican",NA,"RepDevinNunes","rep"
"repdianadegette","28599820","RepDianaDeGette","Rep. Diana DeGette","Member of Congress, Colorado's 1st Congressional District. Chief Deputy Whip & member of Energy and Commerce Committee.",41124,4261,11213,"Fri Apr 03 16:41:06 +0000 2009","Denver, CO","D000197","01479","Diana DeGette","F","Congress","Democrat","DianaDeGette","RepDianaDeGette","rep"
"repdianeblack","110545675","RepDianeBlack","Diane Black","Proudly representing Tennessee's Sixth District (#TN06). Registered nurse & former @HouseBudgetGOP Chair.",28358,5824,2023,"Mon Feb 01 22:58:22 +0000 2010","Gallatin, TN","B001273","02063","Diane Black","F","Congress","Republican","DianeBlackTN06","RepDianeBlack","rep"
"repdinatitus","122174004","repdinatitus","Dina Titus","Congresswoman proudly representing the First District of Nevada in the U.S. House of Representatives. https://t.co/g6tZzJD45q",31990,9946,1843,"Thu Mar 11 21:05:31 +0000 2010","Las Vegas, NV","T000468","01940","Dina Titus","F","Congress","Democrat","CongresswomanTitus","CongresswomanTitus","rep"
"repdlamborn","584012853","RepDLamborn","Rep. Doug Lamborn","Honored to represent Colorado's 5th District. Member of the House Armed Services Committee and @NatResources

Twitter user policy: https://t.co/eTVPJXYvYx",16625,4285,1036,"Fri May 18 16:01:17 +0000 2012","Colorado Springs, CO","L000564","01834","Doug Lamborn","M","Congress","Republican","CongressmanDougLamborn","CongressmanLamborn","rep"
"repdonaldpayne","1155335864","RepDonaldPayne","Rep. Donald Payne Jr","Proudly serving New Jersey's 10th Congressional District",13370,4800,1109,"Wed Feb 06 22:52:35 +0000 2013","www.facebook.com/DonaldPayneJr","P000604","02097","Donald M. Payne, Jr.","M","Congress","Democrat","DonaldPayneJr",NA,"rep"
"repdonbacon","818975124460335106","RepDonBacon","Rep. Don Bacon","Serving the constituents of Nebraska's Second Congressional District. Husband, Dad, Granddad, Brigadier General USAF (Ret.) User policy https://t.co/AeMcX3biFi",5188,3583,539,"Wed Jan 11 00:17:40 +0000 2017","Papillion, NE","B001298",NA,"Don Bacon","M","Congress","Republican","RepDonBacon",NA,"rep"
"repdonbeyer","2962868158","RepDonBeyer","Rep. Don Beyer","Representing Northern Virginia’s #VA8 in Congress. Vice-Ranking @SciCmteDems, top Science Oversight Dem. Co-Chair @CaucusOnClimate. #StopGunViolence #EqualPay",62171,14176,3261,"Mon Jan 05 22:09:04 +0000 2015","Northern Virginia & DC","B001292","02272","Donald S. Beyer, Jr.","M","Congress","Democrat","repdonbeyer",NA,"rep"
"repdonyoung","37007274","repdonyoung","Rep. Don Young","Merchant Marine, Teacher, State Rep, State Senator, Congressman for all Alaska for the last 44 years and Dean of the US House.",16764,1598,628,"Fri May 01 18:31:38 +0000 2009","Ft. Yukon, AK","Y000033","01256","Don Young","M","Congress","Republican","RepDonYoung","RepDonYoung","rep"
"repdougcollins","1060487274","RepDougCollins","Rep. Doug Collins","Working for Georgia's 9th Congressional District. Pastor, attorney, military chaplain. Find me @HouseJudiciary when in session, beautiful #GA09 all other times.",16704,3404,945,"Fri Jan 04 13:43:55 +0000 2013","Gainesville, Georgia","C001093","02121","Doug Collins","M","Congress","Republican","RepresentativeDougCollins","repdougcollins","rep"
"repdrewferguson","806583915012046854","RepDrewFerguson","Drew Ferguson","Proud to serve the good people of Georgia's 3rd District in Congress",4143,1214,100,"Wed Dec 07 19:39:25 +0000 2016","West Point, GA","F000465",NA,"A. Drew Ferguson IV","M","Congress","Republican","RepDrewFerguson",NA,"rep"
"repdwightevans","90639372","RepDwightEvans","Dwight Evans","Representing the 2nd Congressional District in PA. Making Ideas Matter since 1980. Connect on Facebook: https://t.co/xMYIkdOrWR",11250,13759,2746,"Tue Nov 17 14:25:20 +0000 2009","Phila and Montgomery County","E000296",NA,"Dwight Evans","M","Congress","Democrat","RepDwightEvans",NA,"rep"
